,external_var=dAge,external_var=dHispanic,external_var=iYearwrk,external_var=iSex
0,0.030573241632587764,0.02304687193458633,0.043479930889731365,0.016279275837585767
1,0.035399826636751716,0.01431949945444485,0.05829313498980381,0.01652477272585312
2,0.06296919009939592,0.021334014092472785,0.07123407475982237,0.02260707833829146
3,0.031179776363127625,0.010766935554028615,0.03330085845740721,0.019430609866688597
4,0.04513119985458748,0.014093041348706689,0.05354015918963938,0.014941027141037413
5,0.306703100200839,0.016194706951666672,0.5329792630560123,0.030852555596116483
6,0.075869332860661,0.024354847785402492,0.08554256107974507,0.02415832746692645
7,0.0584333933000485,0.02390657832593253,0.07818239385695308,0.031116218953699037
8,0.018465149693708334,0.011732299712032365,0.027685179225945038,0.0075932073281270995
9,0.06857965763071987,0.022800573321879413,0.0811220411933818,0.0229915938514594
mean,0.07333038682724272,0.018254936848115272,0.10653595966984415,0.020649466710578483

Null hypothesis of anova accepted with pvalue,0.07900166118924953
