,external_var=dAge,external_var=dHispanic,external_var=iYearwrk,external_var=iSex
0,0.013123197824611865,0.00892209506892234,0.017994506260527517,0.005044671435158535
1,0.009839935542892902,0.011361807665195586,0.013565727909223797,0.001647207198811479
2,0.023661268969718208,0.011498090852246446,0.030138378430179563,0.004567200078029007
3,0.020134380847900642,0.010433225165630609,0.026298419863622507,0.007100986564743103
4,0.021818798195281583,0.010675962113436775,0.02618412562548583,0.00737763446995339
5,0.007203249305677978,0.018971378222934286,0.012170249872669934,0.004647248035540119
6,0.01793256773189987,0.012408380834437157,0.018352264732471795,0.0024326006680965573
7,0.012928582673427785,0.015787929013060843,0.017834140986062376,0.003790516971430749
8,0.013179163017419827,0.007600077500962005,0.01710062601907549,0.0008139723151966705
9,0.020190243931918983,0.01782919181390033,0.02307552635675665,0.003292877949945372
mean,0.016001138804074964,0.012548813825072636,0.02027139660560755,0.004071491568690498

Max mean mi:,0.02027139660560755
Max mean Generated by:,iYearwrk
anova p-value score:,2.1529451225702012e-08
t-test p-value score:,2.67007218606256e-05
